epoch,global_step,step,test/accuracy,test/dice,test/precision,test/recall,train/loss_epoch,train/loss_step,val/accuracy,val/dice,val/loss,val/precision,val/recall
0,3.0,3,,,,,,0.700211763381958,,,,,
0,7.0,7,,,,,,0.6553035378456116,,,,,
0,11.0,11,,,,,,0.6348745822906494,,,,,
0,,12,,,,,,,0.8482910394668579,0.0,0.6935006976127625,0.0,0.0
0,,12,,,,,0.6764629483222961,,,,,,
1,15.0,15,,,,,,0.6264631748199463,,,,,
1,19.0,19,,,,,,0.606562614440918,,,,,
1,23.0,23,,,,,,0.5848224759101868,,,,,
1,,25,,,,,,,0.9633423089981079,0.857114315032959,0.6702014207839966,0.8529952764511108,0.9161607623100281
1,,25,,,,,0.6159067749977112,,,,,,
2,27.0,27,,,,,,0.601536750793457,,,,,
2,31.0,31,,,,,,0.6103757619857788,,,,,
2,35.0,35,,,,,,0.5903605222702026,,,,,
2,,38,,,,,,,0.974780261516571,0.8969767689704895,0.6404207944869995,0.885649561882019,0.9568789601325989
2,,38,,,,,0.6081895232200623,,,,,,
3,39.0,39,,,,,,0.6329662203788757,,,,,
3,43.0,43,,,,,,0.654441237449646,,,,,
3,47.0,47,,,,,,0.5818734169006348,,,,,
3,51.0,51,,,,,,0.627155065536499,,,,,
3,,51,,,,,,,0.9695068597793579,0.8775812983512878,0.6290624737739563,0.8524462580680847,0.965319037437439
3,,51,,,,,0.6090739965438843,,,,,,
4,55.0,55,,,,,,0.6271243095397949,,,,,
4,59.0,59,,,,,,0.5992148518562317,,,,,
4,63.0,63,,,,,,0.5826267600059509,,,,,
4,,64,,,,,,,0.964599609375,0.8604195713996887,0.6264265775680542,0.8296633958816528,0.9634742736816406
4,,64,,,,,0.6067960858345032,,,,,,
5,67.0,67,,,,,,0.5919793844223022,,,,,
5,71.0,71,,,,,,0.5951664447784424,,,,,
5,75.0,75,,,,,,0.5935745239257812,,,,,
5,,77,,,,,,,0.96221923828125,0.8526672124862671,0.6235287189483643,0.8149527311325073,0.9699819684028625
5,,77,,,,,0.6038962602615356,,,,,,
6,79.0,79,,,,,,0.6072207689285278,,,,,
6,83.0,83,,,,,,0.5930138826370239,,,,,
6,87.0,87,,,,,,0.5940729975700378,,,,,
6,,90,,,,,,,0.964526355266571,0.8604142069816589,0.6241015195846558,0.8265970945358276,0.968218982219696
6,,90,,,,,0.6022776961326599,,,,,,
7,91.0,91,,,,,,0.5981783866882324,,,,,
7,95.0,95,,,,,,0.586426317691803,,,,,
7,99.0,99,,,,,,0.6203545928001404,,,,,
7,103.0,103,,,,,,0.6134840846061707,,,,,
7,,103,,,,,,,0.964953601360321,0.8627894520759583,0.6221099495887756,0.8253768682479858,0.9740091562271118
7,,103,,,,,0.6014693975448608,,,,,,
8,107.0,107,,,,,,0.5914233326911926,,,,,
8,111.0,111,,,,,,0.5861690044403076,,,,,
8,115.0,115,,,,,,0.6042447090148926,,,,,
8,,116,,,,,,,0.9654296636581421,0.8644663095474243,0.6209951043128967,0.826127827167511,0.9764615893363953
8,,116,,,,,0.6000475883483887,,,,,,
9,119.0,119,,,,,,0.6250128746032715,,,,,
9,123.0,123,,,,,,0.6049301624298096,,,,,
9,127.0,127,,,,,,0.595489501953125,,,,,
9,,129,,,,,,,0.9670044183731079,0.8690767288208008,0.6216076612472534,0.8344557881355286,0.9747797250747681
9,,129,,,,,0.6013965606689453,,,,,,
10,,130,0.9654296636581421,0.8644663095474243,0.826127827167511,0.9764615893363953,,,,,,,
